section,rank,lags,score,median_signal_strength,stability_penalty,phi_std_sum,mean_abs_phi,max_abs_phi,n_lags
tick_micro,9,"(1, 5, 7)",48.91610161392426,49.0444623315403,0.12836071761603865,0.12836071761603865,0.07821646438982346,0.28260634875607704,3
tick_micro,10,"(1, 5, 8)",48.91590361937493,49.043321898433334,0.12741827905840225,0.12741827905840225,0.07958004974641285,0.2823496953580052,3
tick_micro,11,"(1, 6, 8)",48.88916569584985,49.01619627069215,0.12703057484230001,0.12703057484230001,0.08025612672363432,0.2828350407778349,3
tick_micro,12,"(1, 8, 9)",48.87490569192541,49.00017230754282,0.12526661561740648,0.12526661561740648,0.07798254019180027,0.28254887925840083,3
tick_micro,13,"(1, 4, 390)",48.870745829920565,48.99717896519674,0.12643313527617608,0.12643313527617608,0.07403432134737487,0.28417438344054213,3
tick_micro,14,"(1, 4, 270)",48.86903093183187,48.99430482305558,0.12527389122370655,0.12527389122370655,0.07373165288960999,0.284185610132727,3
tick_micro,15,"(1, 4, 160)",48.86829524482444,48.996031184881325,0.12773594005688738,0.12773594005688738,0.0742451733904272,0.2841601945446314,3
tick_micro,16,"(1, 4)",48.86729297034779,48.98744095239333,0.1201479820455403,0.1201479820455403,0.1087729494058514,0.2841806919620572,2
tick_micro,17,"(1, 7, 490)",48.86683200047003,48.98167930813282,0.11484730766278803,0.11484730766278803,0.07410346216708383,0.2827085790363863,3
tick_micro,18,"(1, 4, 52)",48.86606853022875,48.99369235142182,0.12762382119307009,0.12762382119307009,0.0742646283711542,0.28417942691391745,3
tick_micro,19,"(1, 5, 490)",48.865512117026306,48.98894913879385,0.12343702176754051,0.12343702176754051,0.07405439347368828,0.2821741407325877,3
tick_micro,20,"(1, 4, 12)",48.864961195596734,48.99772962467737,0.13276842908063205,0.13276842908063205,0.07629428505064768,0.28412381947692805,3
tick_micro,21,"(1, 4, 49)",48.864709766019196,48.99008685480901,0.12537708878981021,0.12537708878981021,0.07386574519292526,0.284201647442983,3
tick_micro,22,"(1, 4, 30)",48.86425982129532,48.991578868436974,0.12731904714165163,0.12731904714165163,0.07414878495233707,0.28418637762318844,3
tick_micro,23,"(1, 4, 40)",48.86417337534054,48.98930046405916,0.12512708871862402,0.12512708871862402,0.07380544103929629,0.2841718136862518,3
tick_micro,24,"(1, 4, 36)",48.86403103819022,48.98866728197303,0.12463624378281264,0.12463624378281264,0.07373217839458439,0.2841793139833671,3
tick_micro,25,"(1, 4, 550)",48.86335152847464,48.987800464972366,0.12444893649772631,0.12444893649772631,0.0737079867426302,0.2841804195595337,3
tick_micro,26,"(1, 4, 560)",48.86302952515306,48.9880216457707,0.12499212061764056,0.12499212061764056,0.07378695665569877,0.28418368013720047,3
tick_micro,27,"(1, 4, 90)",48.86281615071263,48.98814019375779,0.12532404304515948,0.12532404304515948,0.07395099870808752,0.284216035199522,3
tick_micro,28,"(1, 4, 230)",48.86279030846162,48.98777619928654,0.1249858908249207,0.1249858908249207,0.07376151822488071,0.28416806598270256,3
tick_micro,29,"(1, 4, 450)",48.86272548913352,48.98893996083583,0.1262144717023113,0.1262144717023113,0.0740808822250501,0.2841694027769956,3
tick_micro,30,"(1, 4, 350)",48.862557390383095,48.986916002243106,0.1243586118600136,0.1243586118600136,0.07367981952769648,0.28418210245839687,3
1s_mid,1,"(370,)",-0.0037434868551352645,0.0,0.0037434868551352645,0.0037434868551352645,0.0010677669012055682,0.03852561054890347,1
1s_mid,2,"(580,)",-0.003941145840510436,0.0,0.003941145840510436,0.003941145840510436,0.0011256266340744087,0.03066158218393573,1
1s_mid,3,"(530,)",-0.004009910853617501,0.0,0.004009910853617501,0.004009910853617501,0.001204275743673719,0.046743288103917036,1
1s_mid,4,"(500,)",-0.004046408300477925,0.0,0.004046408300477925,0.004046408300477925,0.0011749573860698826,0.036539609321646016,1
1s_mid,5,"(170,)",-0.004060867286232329,0.0,0.004060867286232329,0.004060867286232329,0.001263724001841783,0.02888326789244368,1
1s_mid,6,"(470,)",-0.0042905485610570775,0.0,0.0042905485610570775,0.0042905485610570775,0.0012844383283744285,0.03223809005476307,1
1s_mid,7,"(510,)",-0.004411685218156932,0.0,0.004411685218156932,0.004411685218156932,0.0013904940836905165,0.03167715918406585,1
1s_mid,8,"(480,)",-0.004453056330501272,0.0,0.004453056330501272,0.004453056330501272,0.0013571023627306767,0.03794775186320795,1
1s_mid,9,"(240,)",-0.004501705598995322,0.0,0.004501705598995322,0.004501705598995322,0.001405212159467952,0.028138309252659144,1
1s_mid,10,"(560,)",-0.004535201322759175,0.0,0.004535201322759175,0.004535201322759175,0.001375991446270875,0.03721976789218157,1
1s_mid,11,"(400,)",-0.00459362560550849,0.0,0.00459362560550849,0.00459362560550849,0.0014317564998492579,0.0358498463632918,1
1s_mid,12,"(270,)",-0.004625891551111654,0.0,0.004625891551111654,0.004625891551111654,0.0013363287987892846,0.04781818196544266,1
1s_mid,13,"(150,)",-0.004633055620887819,0.0,0.004633055620887819,0.004633055620887819,0.001407103516542687,0.03392216152874176,1
1s_mid,14,"(390,)",-0.004672591927753631,0.0,0.004672591927753631,0.004672591927753631,0.0014069500586611457,0.03400254155413271,1
1s_mid,15,"(440,)",-0.004684887935543031,0.0,0.004684887935543031,0.004684887935543031,0.0013712825564167585,0.04473483898305067,1
1s_mid,16,"(49,)",-0.0046988725894648465,0.0,0.0046988725894648465,0.0046988725894648465,0.0013605889613725814,0.040135774076442754,1
1s_mid,17,"(310,)",-0.004731011305977244,0.0,0.004731011305977244,0.004731011305977244,0.0014097601812381076,0.04546245728683919,1
1s_mid,18,"(200,)",-0.004753758085515132,0.0,0.004753758085515132,0.004753758085515132,0.0013473723549545416,0.042638224139353004,1
1s_mid,19,"(520,)",-0.004760857933122703,0.0,0.004760857933122703,0.004760857933122703,0.0014948193594521689,0.03739014873210481,1
1s_mid,20,"(160,)",-0.00476144528132445,0.0,0.00476144528132445,0.00476144528132445,0.0013698037686866785,0.046832041026487484,1
